"V2021","V2024","V2025","V2025A","V2025B","V2026","V2032","V2033CAT","V2034","V2036","V2038","V2040A","V2041","V2042CAT","V2045","V2047","V2049A","V2074","V2120","V2122","V2124","V2125","V2128B","V3012","V3014CAT","V3018","V3020","V3024","V3032","V3033","V3035","V3041","V3045","V3047","V3049","V3061","V3062","V3064","V3070","V3071","V3072","V3073","VS0005","VS0006","VS0007","VS0010","VS0011","VS0017","VS0020","VS0022","VS0023","VS0024","VS0025","VS0026","VS0029","VS0030","VS0031","VS0032","VS0033","VS0034","VS0035","VS0036","VS0038","VS0039","VS0040","VS0041","VS0042","VS0043","VS0044","VS0045","VS0046","VS0050","VS0051","VS0053","VS0055","VS0146","VS0147","VS0148","VS0150","VS0152","VS0153","VS0154","VS0155","VS0058","VS0059","VS0065","VS0067","VS0069","VS0070","VS0112","VS0115","VS0119","VS0157","VS0123","VS0126","VS0131","VS0134","VS0135","VS0137","VS0141","V4526AA_1","o_bullied","VS0024","VS0147","VS0027","VS0016","VS0026","V2075","VS0011"
1,1,9,2,2,98,2,4,1,2,41,2,2,4,1,40,2,2,9,4,2,1,1,4,1,2,9,2,16,99,999,999,999,999,26,0,0,1,9,2,2,9,1,0,1,16,1,5,9,9,12,3,4,3,2,2,2,2,1,1,2,2,2,1,1,2,1,1,1,2,3,4,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,9,9,9,99,2,9,0,3,1,1,99,3,9,1
1,1,9,2,2,12,11,5,1,2,3,1,1,5,2,3,1,2,9,25,2,1,1,9,1,2,5,1,7,99,999,999,999,999,99,0,1,0,9,9,9,9,2,0,1,12,1,1,1,0,6,4,1,1,1,2,2,2,2,2,2,1,2,1,1,4,2,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,99,1,9,0,4,1,1,99,1,9,1
1,1,9,2,2,98,11,4,5,2,41,1,2,4,2,41,1,2,9,28,2,1,1,3,1,1,8,2,99,2,999,999,999,999,99,0,0,1,9,9,9,9,1,0,1,15,1,4,2,9,12,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,1,1,3,2,2,2,4,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,9,9,9,99,2,9,1,2,2,1,99,2,9,1
1,1,9,2,2,13,2,4,1,2,42,4,2,4,1,42,4,2,9,4,2,1,4,3,1,1,9,2,5,99,999,999,999,999,99,1,0,0,9,2,2,9,2,0,1,16,2,5,9,9,12,4,3,4,1,2,2,1,2,2,2,1,3,1,1,1,2,1,1,1,2,1,1,2,4,1,1,1,1,1,1,1,1,2,3,4,3,2,2,2,2,2,2,2,1,9,9,9,2,4,9,1,4,1,1,99,4,9,2
1,6,1,2,2,98,11,4,3,2,28,1,1,4,2,28,1,2,9,28,2,1,1,4,1,2,9,1,5,99,999,999,999,999,99,0,1,0,9,9,9,9,1,0,1,14,1,4,1,9,9,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,2,1,3,2,2,2,2,2,2,2,2,3,3,4,3,1,2,2,2,2,2,2,1,9,1,3,99,2,9,0,2,2,1,99,2,9,1
1,1,9,2,2,14,2,4,1,2,42,1,2,4,1,42,1,1,9,4,1,1,4,3,1,1,7,2,2,3,999,999,999,999,99,0,0,1,9,9,9,9,1,0,1,13,1,3,1,0,8,5,1,5,2,2,2,2,2,1,2,2,2,1,1,3,2,3,1,1,2,1,2,2,3,1,2,1,1,1,1,1,1,2,2,4,2,2,2,2,2,2,2,2,1,9,9,9,99,1,9,0,5,2,1,99,5,2,1
1,1,9,2,2,98,11,3,5,2,98,1,1,3,2,98,1,2,9,17,2,1,1,3,2,1,11,1,9,99,999,999,999,999,99,0,1,0,9,2,2,9,1,0,1,18,1,7,1,9,12,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,1,2,99,1,9,0,1,2,3,99,1,9,1
1,1,9,2,2,8,2,4,1,2,41,1,2,4,1,40,1,2,2,4,2,2,1,4,1,2,10,2,2,2,999,999,999,999,99,0,0,1,9,2,2,9,1,0,1,17,1,6,1,0,12,2,3,2,1,2,1,1,2,1,2,2,2,2,1,1,2,1,1,1,2,2,3,2,4,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,9,9,9,99,2,9,1,2,1,1,99,2,9,1
1,1,9,2,2,13,2,4,1,2,28,1,2,4,1,27,1,2,9,4,2,2,3,4,1,2,7,2,13,99,999,999,999,999,99,1,0,0,9,9,9,9,2,0,0,13,2,2,1,7,9,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,99,5,9,0,2,1,1,99,2,9,2
1,4,1,2,2,4,11,3,5,2,40,1,2,3,2,40,1,2,2,28,1,2,3,3,1,1,7,2,1,2,999,1,999,999,99,0,0,1,9,9,9,9,1,1,1,12,1,2,1,6,8,4,1,2,1,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,4,3,2,3,2,2,2,3,2,3,1,3,2,2,2,4,2,1,2,2,2,2,2,2,1,9,9,9,99,2,2,1,4,2,1,99,2,9,1
5,1,9,2,2,1,11,5,4,2,40,1,1,5,2,40,1,2,9,28,1,1,1,4,1,2,11,1,1,2,999,999,999,999,99,0,1,0,9,2,2,9,1,0,1,17,1,6,1,9,12,4,2,4,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,3,1,2,2,1,1,2,1,3,2,1,1,1,1,3,1,1,1,1,2,2,2,2,1,9,9,9,99,1,9,1,4,1,4,99,4,9,1
1,1,9,2,2,12,2,4,1,2,42,1,2,4,1,43,1,2,9,4,2,1,1,4,1,2,28,2,3,1,999,999,999,999,99,1,0,0,9,2,2,9,3,0,1,17,2,99,1,11,12,4,1,4,1,1,1,2,2,2,2,1,2,2,1,3,2,3,1,1,2,2,2,2,3,2,1,2,2,2,2,2,2,3,2,4,2,2,2,2,2,2,2,2,2,9,6,3,99,4,9,0,4,1,2,6,4,9,2
5,1,9,2,2,9,11,4,1,2,11,1,2,4,2,11,1,2,9,28,1,1,1,3,2,1,10,2,7,99,999,999,999,999,99,0,1,0,9,2,1,1,3,0,0,18,1,7,2,9,12,2,2,2,2,2,2,2,2,2,2,1,2,3,1,4,2,1,1,1,2,1,1,2,3,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,99,1,9,0,2,1,1,99,2,9,1
1,1,9,2,2,10,2,4,1,2,28,1,2,2,1,28,1,2,9,4,2,1,1,4,1,2,7,2,1,2,999,999,999,999,99,0,1,0,9,9,9,9,3,0,0,12,1,2,1,6,8,2,1,2,2,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,99,2,9,0,2,1,1,99,2,9,1
1,1,9,2,2,10,11,5,4,2,11,1,1,5,2,11,1,2,2,25,2,1,1,9,1,1,10,1,2,1,1,999,999,999,99,0,0,1,2,2,2,9,4,1,1,17,3,6,1,9,12,1,1,1,1,2,2,2,2,1,2,1,3,1,1,1,2,1,1,1,4,2,2,3,2,2,2,2,2,3,3,99,2,3,3,3,3,2,2,2,1,2,2,2,3,9,6,3,20,9,2,1,1,2,1,99,1,9,3
1,1,9,2,2,98,11,3,5,1,28,1,2,3,1,28,1,2,2,14,2,1,3,10,2,1,10,2,15,99,999,999,999,999,99,1,0,0,9,2,2,9,1,0,1,18,2,7,1,7,12,4,1,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,3,3,3,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,9,9,9,99,5,9,0,4,3,1,99,4,9,2
1,1,9,2,2,13,11,4,3,2,41,1,2,4,2,41,1,2,2,28,2,1,4,4,1,2,9,2,2,1,999,999,999,999,99,1,0,0,9,9,9,9,1,0,1,15,2,5,2,7,12,4,2,4,1,1,2,1,2,2,2,2,2,1,1,1,2,3,1,1,2,3,2,2,4,2,2,2,2,1,1,1,1,2,2,2,3,1,2,2,2,2,2,2,1,9,9,9,99,4,9,0,4,2,1,99,4,9,2
1,1,9,2,2,8,2,4,1,2,40,1,2,4,1,40,1,2,2,4,2,1,1,3,1,1,7,1,3,1,999,999,999,999,99,1,0,0,9,9,9,9,1,0,1,14,2,3,1,6,8,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,3,1,2,2,4,1,1,2,1,2,1,2,1,3,1,2,2,1,2,1,2,2,2,2,2,9,9,9,99,3,9,0,2,1,1,99,2,9,2
1,1,9,2,2,98,11,4,1,2,40,1,1,4,2,40,1,2,9,17,2,1,1,4,1,2,8,1,8,99,999,999,999,999,99,0,0,1,9,9,9,9,1,0,1,14,1,3,1,6,8,4,1,4,2,2,2,2,2,2,2,1,2,1,1,2,1,1,1,1,3,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,99,2,9,0,4,2,1,99,4,9,1
1,1,9,2,2,14,2,4,1,2,28,1,2,4,1,28,1,2,9,4,2,2,3,3,1,1,11,2,17,99,999,999,999,999,99,1,0,0,9,1,9,9,2,0,1,17,2,7,1,0,12,4,1,4,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,2,1,4,2,2,2,2,2,1,2,2,3,3,2,3,2,2,2,2,2,2,2,1,9,9,9,99,4,9,0,4,2,4,99,4,9,2
1,1,9,2,2,98,11,3,1,2,41,1,2,3,2,41,1,2,9,20,2,1,1,4,1,2,9,2,99,1,999,999,999,999,99,0,1,0,9,9,9,9,1,0,1,15,1,4,1,9,12,1,2,1,2,2,2,2,2,2,2,1,2,2,1,3,2,2,1,2,3,2,3,2,3,2,2,2,2,2,2,3,3,1,1,4,1,2,2,2,2,2,2,2,3,9,5,3,99,1,9,1,1,2,1,99,1,9,1
1,1,9,2,2,98,11,4,1,2,41,1,2,4,2,41,1,2,9,17,2,2,1,3,1,1,11,2,10,99,999,999,999,999,99,1,0,0,9,2,2,9,2,0,1,17,4,7,1,9,12,4,1,4,1,2,2,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,4,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,99,9,9,0,4,2,1,99,4,9,4
1,1,9,2,2,8,11,4,3,2,41,1,2,4,2,41,1,2,9,28,2,1,1,4,1,2,10,2,2,2,999,999,999,999,99,1,0,0,9,1,9,9,2,0,1,16,2,7,1,9,12,2,5,2,2,1,2,2,2,1,2,1,1,2,1,1,2,1,1,2,3,3,2,2,3,1,1,1,1,99,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,9,9,9,99,3,9,1,2,1,1,99,2,9,2
1,1,9,2,2,9,11,5,4,1,28,1,2,5,1,28,1,2,9,12,2,1,1,4,1,2,6,2,13,99,999,999,999,999,99,1,0,0,9,9,9,9,1,0,1,13,2,3,1,6,8,2,4,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,1,9,6,3,1,4,9,0,2,2,1,99,2,9,2
1,5,1,2,2,98,11,4,1,2,9,2,2,4,2,9,2,2,2,20,2,1,1,4,2,2,11,2,4,1,999,999,999,999,99,0,1,0,9,2,2,9,2,0,1,18,1,1,1,6,8,1,1,1,2,2,2,1,2,2,2,1,2,1,1,1,2,1,1,1,4,1,2,2,4,1,4,2,2,3,2,3,3,2,2,2,2,2,2,1,2,2,2,2,1,2,4,3,99,2,9,1,1,4,1,99,1,9,1
1,1,9,2,2,14,11,4,1,2,42,1,2,4,2,42,1,2,9,20,2,1,4,3,1,1,11,2,5,99,999,999,999,999,99,0,0,1,9,2,2,9,2,0,1,17,1,6,1,10,12,4,1,4,1,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,2,2,2,2,4,2,2,2,2,1,1,1,1,2,1,2,3,2,2,2,2,2,2,2,1,9,9,9,99,2,9,0,4,2,3,99,4,9,1
1,5,1,2,2,12,2,4,1,2,40,1,2,3,1,28,1,2,2,4,1,1,1,3,1,1,8,2,4,1,999,999,999,999,99,1,0,0,9,9,9,9,1,0,1,14,2,4,1,9,12,2,2,2,2,2,2,2,2,2,2,3,2,1,1,3,1,1,1,3,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,99,2,1,2,2,2,2,1,9,2,2,99,3,9,0,2,2,1,99,2,9,2
1,1,9,2,2,12,11,4,1,2,28,1,1,4,2,28,1,2,9,20,2,1,3,4,1,2,10,1,3,1,999,999,999,999,99,1,0,0,9,2,1,1,2,0,1,16,2,6,1,9,12,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,1,1,3,2,2,2,4,3,2,2,2,3,2,2,2,2,1,4,4,1,2,2,2,2,2,2,1,9,6,3,99,5,9,0,2,2,1,99,2,9,2
1,1,9,2,2,14,11,4,1,2,45,1,2,4,2,45,1,1,9,20,2,1,1,3,1,1,7,2,99,4,999,999,999,999,99,0,0,0,9,9,9,9,1,0,1,13,1,3,1,6,8,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,99,1,9,0,2,1,1,99,2,2,1
1,5,1,2,2,8,11,4,5,2,40,5,1,4,2,40,5,2,2,28,2,1,1,4,1,2,9,1,8,99,999,999,999,999,99,0,0,1,9,9,9,9,1,0,1,15,1,5,2,9,12,3,2,3,2,2,2,2,2,2,2,1,2,2,1,1,1,3,1,1,3,2,2,2,3,2,2,2,2,2,2,2,2,1,1,4,1,1,1,1,2,2,2,2,2,9,3,3,99,2,9,1,3,2,1,99,3,9,1
1,1,9,2,2,13,11,5,1,2,42,1,2,5,2,42,1,2,9,17,2,1,1,3,1,1,7,2,13,99,999,999,999,999,99,0,1,0,9,9,9,9,2,0,0,14,1,2,1,5,8,4,2,4,2,2,2,2,2,2,2,1,2,1,1,1,1,3,1,1,3,2,2,2,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,9,6,3,99,2,9,0,4,2,1,99,4,9,1
1,1,9,2,2,14,2,5,1,2,28,1,2,5,1,40,1,2,9,5,2,1,1,9,1,2,5,1,12,99,999,999,999,999,99,0,0,1,2,9,9,9,1,0,1,12,3,8,2,30,30,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,4,4,1,3,2,4,1,4,4,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,99,9,9,0,2,1,1,99,2,9,3
1,1,9,2,2,98,11,4,3,2,40,1,2,4,2,40,1,2,9,25,2,2,1,4,1,2,9,2,15,99,999,999,999,999,99,1,0,0,9,9,9,9,1,0,1,15,2,5,1,9,12,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,1,1,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,1,9,9,9,2,3,9,0,2,2,1,99,2,9,2
1,1,9,2,2,3,11,4,5,2,10,1,1,4,2,10,1,2,2,25,2,1,4,4,1,2,7,1,2,3,999,999,999,999,99,0,1,0,9,9,9,9,2,0,0,13,1,2,2,0,8,4,1,4,1,2,2,2,1,1,2,1,2,2,1,4,2,1,1,1,3,1,1,1,3,2,3,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,9,9,9,99,1,9,1,4,3,1,99,4,9,1
1,1,9,2,2,13,2,3,1,2,28,1,2,4,1,42,1,2,9,4,1,1,1,4,1,2,6,2,5,99,999,999,999,999,99,1,0,0,9,9,9,9,1,0,1,12,1,1,1,0,12,2,4,2,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,3,3,2,3,3,2,3,2,3,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,9,9,99,1,9,0,2,3,1,99,2,9,1
1,1,9,2,2,10,11,4,1,2,28,1,1,4,2,28,1,2,9,20,2,2,3,4,1,2,9,1,6,99,999,999,999,999,99,0,0,1,9,9,9,9,2,0,1,14,1,4,1,0,12,2,3,2,2,2,1,2,2,2,2,1,2,1,1,2,2,1,1,2,3,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,99,1,9,0,2,2,1,99,2,9,1
1,5,1,2,2,14,2,4,1,2,28,4,2,6,1,43,1,2,2,4,2,1,1,3,1,1,8,2,10,99,999,999,999,999,99,1,0,0,9,9,9,9,1,0,1,14,1,4,1,9,12,4,1,3,2,2,1,2,2,2,2,1,1,1,1,2,1,1,1,1,3,1,2,2,3,1,2,2,1,1,2,2,2,2,2,4,2,2,2,2,2,2,2,2,1,9,9,9,99,1,9,0,4,2,1,99,3,9,1
1,1,9,2,2,98,11,4,4,2,40,1,2,4,2,40,1,2,2,26,2,2,1,3,1,1,7,2,2,1,999,999,999,999,99,1,0,0,9,9,9,9,2,0,0,13,2,3,1,6,8,2,5,2,2,2,1,2,2,2,2,1,2,1,1,1,2,1,1,1,4,2,1,1,4,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,1,9,9,9,99,4,9,1,2,1,1,99,2,9,2
1,1,9,2,2,98,11,4,1,2,41,5,2,4,2,41,5,1,2,17,2,1,4,4,1,2,9,2,5,99,999,999,999,999,99,0,0,1,9,9,9,9,2,0,1,15,1,5,2,10,12,4,1,4,2,2,2,1,2,1,2,2,2,2,1,2,2,1,1,1,4,2,3,2,3,2,3,2,2,2,2,2,2,3,3,3,3,1,2,1,2,2,2,2,1,9,6,3,99,2,9,0,4,3,1,99,4,2,1
1,1,9,1,1,14,11,4,1,2,40,1,2,4,2,40,1,2,9,20,2,1,4,4,1,2,8,2,5,99,999,999,999,999,99,1,0,0,9,9,9,9,2,0,0,12,4,4,1,9,12,2,2,2,2,2,1,2,2,2,2,1,3,1,1,3,1,1,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,1,9,6,3,99,9,9,0,2,2,1,99,2,9,4
1,1,9,2,2,14,2,5,1,2,42,1,2,5,1,43,1,2,9,4,1,2,3,4,2,2,11,2,16,99,999,999,999,999,99,1,0,0,9,2,1,1,1,0,1,18,1,7,1,9,12,4,1,4,1,2,2,1,1,2,2,1,2,1,1,1,2,1,1,1,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,9,2,3,99,2,9,0,4,1,2,99,4,9,1
1,1,9,2,2,14,11,4,1,2,28,1,2,4,2,28,1,2,9,20,2,1,1,3,1,1,7,2,13,99,999,999,999,999,99,1,0,0,9,9,9,9,2,0,0,13,2,3,1,7,8,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,3,2,2,1,3,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,99,3,9,0,2,2,1,99,2,9,2
1,1,9,2,2,13,11,4,1,2,28,1,2,4,2,28,1,2,9,17,2,2,1,4,1,2,8,2,14,99,999,999,999,999,99,0,1,0,9,9,9,9,2,0,0,14,1,3,1,6,8,4,3,2,2,2,2,2,2,2,2,1,2,1,1,3,2,2,2,1,2,2,2,2,3,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,99,1,9,1,4,2,1,99,2,9,1
1,1,9,2,2,98,2,4,1,2,28,1,1,4,1,28,1,2,2,1,2,1,1,3,1,1,9,1,3,2,999,999,999,999,99,0,0,1,9,2,2,9,1,0,1,16,1,6,2,9,12,4,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,2,1,1,3,1,2,1,1,1,1,2,1,2,1,2,1,1,2,1,2,2,2,2,1,9,9,9,1,1,9,1,4,2,5,99,4,9,1
1,1,9,2,2,13,11,3,1,2,41,2,2,3,2,41,2,2,2,20,2,1,4,4,1,2,5,2,99,2,1,999,999,999,99,0,0,1,9,9,9,9,1,1,1,12,1,1,1,6,8,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,3,1,1,1,3,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,99,2,2,0,2,2,1,99,2,9,1
1,1,9,2,2,98,2,4,1,2,28,1,2,5,1,42,1,2,9,4,2,1,1,4,1,2,7,2,10,99,999,999,999,999,99,1,0,0,9,9,9,9,1,0,1,14,4,4,1,9,12,2,2,2,1,2,2,2,2,2,2,1,3,3,1,1,2,3,1,1,2,2,2,3,2,1,2,2,2,3,2,2,2,3,3,4,3,2,2,2,2,2,2,2,1,9,9,9,99,9,9,0,2,2,1,99,2,9,4
1,2,1,2,2,8,2,4,1,2,9,1,1,4,1,9,1,2,9,4,2,1,1,4,1,2,8,1,9,99,999,1,999,999,99,0,1,0,9,9,9,9,1,1,1,14,1,4,1,7,8,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,3,2,2,2,3,1,1,1,1,3,2,2,2,2,1,3,2,1,1,2,2,2,2,2,1,9,9,9,1,2,2,1,2,1,1,99,2,9,1
